City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2020-03-03 01:22:08,19.73,-155.09,80.6,61,40,20.8
1,Rikitea,PF,2020-03-03 01:22:28,-23.12,-134.97,80.24,80,100,24.09
2,Vaini,TO,2020-03-03 01:22:29,-21.2,-175.2,86.0,70,20,10.29
3,Bitam,GA,2020-03-03 01:22:29,2.08,11.5,70.97,98,87,1.25
4,Hay River,CA,2020-03-03 01:22:29,60.82,-115.8,-0.4,77,90,9.17
5,Mahebourg,MU,2020-03-03 01:22:29,-20.41,57.7,80.6,94,75,3.36
6,Mabaruma,GY,2020-03-03 01:22:29,8.2,-59.78,70.92,92,94,2.64
7,Clonakilty,IE,2020-03-03 01:22:30,51.62,-8.87,36.0,65,20,8.05
8,Punta Arenas,CL,2020-03-03 01:22:30,-53.15,-70.92,53.6,71,40,5.82
9,Mataura,NZ,2020-03-03 01:22:30,-46.19,168.86,61.0,67,100,15.99
10,Vardo,NO,2020-03-03 01:22:30,70.37,31.11,27.19,78,97,28.3
11,Rikitea,PF,2020-03-03 01:22:30,-23.12,-134.97,80.24,80,100,24.09
12,Carnot,CF,2020-03-03 01:22:31,4.94,15.87,67.23,94,100,2.53
13,Rikitea,PF,2020-03-03 01:22:30,-23.12,-134.97,80.24,80,100,24.09
14,Avarua,CK,2020-03-03 01:22:31,-21.21,-159.78,84.2,83,10,6.93
15,Bredasdorp,ZA,2020-03-03 01:22:31,-34.53,20.04,69.01,93,23,4.7
16,Almaty,KZ,2020-03-03 01:20:32,43.25,76.95,37.4,69,75,6.71
17,Ushuaia,AR,2020-03-03 01:18:58,-54.8,-68.3,53.6,58,75,34.45
18,Mahebourg,MU,2020-03-03 01:22:29,-20.41,57.7,80.6,94,75,3.36
19,Biltine,TD,2020-03-03 01:22:32,14.53,20.92,77.61,13,32,14.29
20,Saint George,US,2020-03-03 01:22:32,37.1,-113.58,57.99,35,1,10.29
21,Zhezkazgan,KZ,2020-03-03 01:22:32,47.8,67.71,12.2,85,8,13.42
22,Non Sang,TH,2020-03-03 01:22:33,16.87,102.57,78.8,78,40,2.24
23,Biak,ID,2020-03-03 01:22:33,-0.91,122.88,80.96,78,100,6.04
24,Banda Aceh,ID,2020-03-03 01:19:37,5.56,95.32,71.73,95,96,3.65
25,Albany,US,2020-03-03 01:22:33,42.6,-73.97,53.6,37,90,8.05
26,Tsabong,BW,2020-03-03 01:22:33,-26.02,22.4,70.7,65,34,8.14
27,Hithadhoo,MV,2020-03-03 01:22:34,-0.6,73.08,83.73,67,52,4.05
28,Alice Springs,AU,2020-03-03 01:21:46,-23.7,133.88,64.4,100,90,13.87
29,Hilo,US,2020-03-03 01:22:08,19.73,-155.09,80.6,61,40,20.8
30,Atbasar,KZ,2020-03-03 01:22:34,51.8,68.33,8.44,83,0,7.52
31,Ushuaia,AR,2020-03-03 01:18:58,-54.8,-68.3,53.6,58,75,34.45
32,Soubre,CI,2020-03-03 01:22:35,5.79,-6.61,76.62,90,100,2.84
