City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
324,Bilma,NE,69.26,Clouds,18.69,12.92,Expeditions Ténére voyages
325,Mahebourg,MU,84.0,Rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
326,Rio Gallegos,AR,53.6,Clouds,-51.62,-69.22,Hotel Santa Cruz
328,Punta Arenas,CL,50.0,Clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
330,Gilgit,PK,22.84,Clear,35.92,74.31,Tourist Hamlet Gilgit
331,Westport,US,52.0,Rain,41.14,-73.36,The Westport Inn
332,Kodiak,US,21.2,Clear,57.79,-152.41,Mission Lake Bed and Breakfast
333,Alekseyevsk,RU,18.1,Clouds,57.84,108.35,
335,Zambezi,ZM,66.97,Clouds,-13.54,23.1,Royal Kutachika Lodge
336,Khatanga,RU,13.17,Clouds,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
337,Saint-Philippe,RE,86.0,Clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
338,Dickinson,US,70.0,Mist,29.46,-95.05,Candlewood Suites League City
339,Puerto Ayora,EC,80.01,Clear,-0.74,-90.35,Finch Bay Galapagos Hotel
340,Gambela,ET,89.6,Clouds,8.25,34.58,Solomon Debebe Hotel
341,Hermanus,ZA,69.01,Clear,-34.42,19.23,Misty Waves Boutique Hotel
343,Jamestown,US,45.0,Fog,42.1,-79.24,Hampton Inn & Suites Jamestown
344,Russell,US,64.4,Clouds,32.35,-85.2,Macs
345,Kapaa,US,73.4,Mist,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
346,Vaini,TO,82.4,Clouds,-21.2,-175.2,Keleti Beach Resort
347,East London,ZA,69.8,Clouds,-33.02,27.91,Tu Casa
348,Port Alfred,ZA,66.99,Clear,-33.59,26.89,The Halyards Hotel
